"filename", "language", "XML", "Java", "Java Properties", "Markdown", "YAML", "comment", "blank", "total"
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.gradle/9.5.0/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 1, 1
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.gradle/9.5.1/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 1, 1
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.gradle/buildOutputCleanup/cache.properties", "Java Properties", 0, 0, 1, 0, 0, 1, 1, 3
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.gradle/configuration-cache/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 1, 1
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.gradle/vcs-1/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 1, 1
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/compiler.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/dictionaries/project.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/encodings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/gradle.xml", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/inspectionProfiles/Project_Default.xml", "XML", 27, 0, 0, 0, 0, 0, 0, 27
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/jarRepositories.xml", "XML", 45, 0, 0, 0, 0, 0, 0, 45
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/misc.xml", "XML", 11, 0, 0, 0, 0, 0, 0, 11
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/modules/LastItems.main.iml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
